id,title,author,score,comments,engagement_score,domain,created_at,age_hours,keywords,url
49503601,“I just chose words carefully”,zdw,1205,343,1891,unsung.aresluna.org,2026-08-30T22:49:48+00:00,36.21,"just, chose, words, carefully",https://unsung.aresluna.org/i-just-chose-words-carefully/
49508982,Apple caught off guard by AI demand for Mac Mini and Mac Studio,thm,420,465,1350,macrumors.com,2026-08-31T12:41:22+00:00,22.35,"apple, caught, off, guard, demand, mac, mini, mac, studio",https://www.macrumors.com/2026/08/30/apple-unexpected-mac-mini-and-studio-demand/
49510514,Playa Phone,cutoff,644,211,1066,playaphone.com,2026-08-31T14:52:26+00:00,20.16,"playa, phone",https://playaphone.com/
49517448,Fastpotify,nreece,438,235,908,fastpotify.rocks,2026-09-01T02:52:14+00:00,8.17,fastpotify,https://fastpotify.rocks/
49507822,OpenShot 4.0 – Open-source video editor,metrofun,567,132,831,openshot.org,2026-08-31T09:59:05+00:00,25.05,"openshot, open-source, video, editor",https://www.openshot.org/blog/2026/08/30/openshot-40-record-edit-color-like-never-before/
49467636,Dwarf Fortress is getting the mother of all magic updates,Tomte,422,173,768,rockpapershotgun.com,2026-08-27T16:45:22+00:00,114.28,"dwarf, fortress, getting, mother, all, magic, updates",https://www.rockpapershotgun.com/dwarf-fortress-is-getting-the-mother-of-all-magic-updates-extending-to-the-fundamental-cosmological-makeup-of-the-universe
49511856,I turned my security cameras into an automatic bird identification system,speckx,511,125,761,jasontucker.blog,2026-08-31T16:47:11+00:00,18.25,"turned, security, cameras, automatic, bird, identification, system",https://jasontucker.blog/how-i-turned-my-security-cameras-into-an-automatic-bird-identification-system-with-birdnet-go/
49508506,I think the military commissary's freezers were hacked,jcurbo,353,196,745,signalandsilence.substack.com,2026-08-31T11:45:48+00:00,23.27,"think, military, commissary, freezers, were, hacked",https://signalandsilence.substack.com/p/i-think-someone-hacked-the-commissary
49506819,Breaking Claude Code Opus 5 Auto Mode,Recursing,373,116,605,embracethered.com,2026-08-31T07:49:18+00:00,27.22,"breaking, claude, code, opus, auto, mode",https://embracethered.com/blog/posts/2026/breaking-claude-code-opus-5-and-automode/
49516199,Evidence of Fraud in an Influential Study About Procrastination,Anon84,252,172,596,datacolada.org,2026-08-31T23:45:56+00:00,11.27,"evidence, fraud, influential, study, procrastination",https://datacolada.org/138
49503521,Terence Tao explains 6 essential mathematical concepts [video],matthewsinclair,442,63,568,youtube.com,2026-08-30T22:37:01+00:00,36.42,"terence, tao, explains, essential, mathematical, concepts, video",https://www.youtube.com/watch?v=OOMx2BHHWtE
49517584,GPU World,simonpure,259,137,533,gpuworld.org,2026-09-01T03:16:36+00:00,7.76,"gpu, world",https://www.gpuworld.org/
49505217,Transfer files over an Ethernet patch cable,jllyhill,173,176,525,maurycyz.com,2026-08-31T03:19:42+00:00,31.71,"transfer, files, over, ethernet, patch, cable",https://maurycyz.com/misc/etherfiles/
49467700,Reverse engineering my ADHD test,hazebooth,229,138,505,nullpt.rs,2026-08-27T16:49:40+00:00,114.21,"reverse, engineering, adhd, test",https://nullpt.rs/reverse-engineering-adhd-test
49481141,Damn fine tiny cafe,thecsw,376,62,500,sandyuraz.com,2026-08-28T16:43:11+00:00,90.32,"damn, fine, tiny, cafe",https://sandyuraz.com/blogs/tiny-cafe/
49495171,No country for mediocre mathematicians,reasonableklout,201,118,437,garvvee.substack.com,2026-08-30T02:35:14+00:00,56.45,"country, mediocre, mathematicians",https://garvvee.substack.com/p/no-country-for-mediocre-mathematicians
49500504,Cheap GPS jammers are filling the world with navigation dead zones,vinnyglennon,148,142,432,wsj.com,2026-08-30T17:05:32+00:00,41.95,"cheap, gps, jammers, filling, world, navigation, dead, zones",https://www.wsj.com/tech/gps-jammers-dead-zones-e76f3261
49511534,"RavynOS: Pre-alpha open-source OS based on Darwin, FreeBSD, Apple open-source",Bluestein,202,115,432,ravynos.com,2026-08-31T16:19:36+00:00,18.71,"ravynos, pre-alpha, open-source, based, darwin, freebsd, apple, open-source",https://ravynos.com/
49506142,uv: Deduplicate all files in the wheel cache,tosh,217,107,431,github.com,2026-08-31T06:03:02+00:00,28.99,"deduplicate, all, files, wheel, cache",https://github.com/astral-sh/uv/pull/21327
49512975,A walkable ASCII cyberpunk city in one HTML file [video],keithcarolus,335,42,419,youtube.com,2026-08-31T18:21:33+00:00,16.68,"walkable, ascii, cyberpunk, city, one, html, file, video",https://www.youtube.com/watch?v=3YtygAx_C6A
49476239,'Mad honey' that can stop your heart is being sold online,samizdis,184,111,406,phys.org,2026-08-28T09:17:27+00:00,97.75,"mad, honey, stop, heart, being, sold, online",https://phys.org/news/2026-08-mad-honey-heart-sold-online.html
49515830,Run macOS Software on Linux,Bluestein,235,74,383,darlinghq.org,2026-08-31T22:53:45+00:00,12.14,"run, macos, software, linux",https://www.darlinghq.org/
49496292,Smartphone LED detects hidden cameras with AI,geox,218,64,346,chosun.com,2026-08-30T06:52:04+00:00,52.17,"smartphone, led, detects, hidden, cameras",https://www.chosun.com/english/industry-en/2026/08/30/SBFXUIJQYZEARKP5T4FBAY25HQ/
49510000,ChatGPT Work Tool and Skill Reference,ijidak,221,53,327,codex-tool-reference.simonw.chatgpt.site,2026-08-31T14:07:15+00:00,20.92,"chatgpt, work, tool, skill, reference",https://codex-tool-reference.simonw.chatgpt.site/
49489376,Show HN: Laser Graffiti,con,198,42,282,laser.consti.de,2026-08-29T12:28:11+00:00,70.57,"laser, graffiti",https://laser.consti.de
49516699,2004 RuneScape fit a multiplayer RPG into 56k dial-up,fagnerbrack,115,66,247,jkm.dev,2026-09-01T01:01:08+00:00,10.02,"runescape, fit, multiplayer, rpg, dial-up",https://jkm.dev/posts/how-2004-runescape-fit-a-multiplayer-rpg-into-56k-dialup/
49494181,Lion-man,gurjeet,118,63,244,en.wikipedia.org,2026-08-29T23:17:15+00:00,59.75,lion-man,https://en.wikipedia.org/wiki/Lion-man
49517624,Restroom Archive,jcalx,142,37,216,restroomarchive.com,2026-09-01T03:23:48+00:00,7.64,"restroom, archive",https://restroomarchive.com
49515662,Develop Cross-Platform CLI and GUI Tools with Tcl/Tk,aryonoco,105,53,211,cgicoffee.com,2026-08-31T22:32:22+00:00,12.5,"develop, cross-platform, cli, gui, tools, tcl",https://cgicoffee.com/blog/2026/04/tcl-tk-develop-cross-platform-cli-gui-tools-tutorial-guide
49511007,Launch HN: Almanac (YC S26) – AI that knows your company,kushagrchitkar,54,47,148,usealmanac.com,2026-08-31T15:34:34+00:00,19.46,"launch, almanac, s26, knows, company",https://usealmanac.com/
49484004,Borges Labyrinth in Venice reopens to the public,gone35,76,27,130,wallpaper.com,2026-08-28T20:41:35+00:00,86.35,"borges, labyrinth, venice, reopens, public",https://www.wallpaper.com/design-interiors/labirinto-borges-venice-reopening
49455557,Show HN: We built the smallest dual-band aircraft tracker,CoolNamesAllTkn,85,22,129,pantsforbirds.com,2026-08-26T20:38:44+00:00,134.39,"built, smallest, dual-band, aircraft, tracker",https://pantsforbirds.com/the-worlds-smallest-dual-band-ads-b-receiver-module/
49516059,Tmp.0ut Volume 5,ghuntley,80,24,128,tmpout.sh,2026-08-31T23:26:08+00:00,11.6,"tmp.0ut, volume",https://tmpout.sh/5/
49516848,"DoltLite: A SQLite fork with Git-style version control, built with 2k agent PRs",lbw1215,49,34,117,dolthub.com,2026-09-01T01:25:40+00:00,9.61,"doltlite, sqlite, fork, git-style, version, control, built, agent, prs",https://www.dolthub.com/blog/2026-08-31-doltlite-beta/
49493468,American Airlines' Legendary Mechanic Passes Away at 100 After 80-Year Career,NaOH,61,19,99,simpleflying.com,2026-08-29T21:25:17+00:00,61.62,"american, airlines, legendary, mechanic, passes, away, after, year, career",https://simpleflying.com/american-airlines-mechanic-passes-away-100-record-80-years/
49517297,RotaryCell: Making an unmodified rotary phone work over LTE with an ESP32-S3,jombib,69,10,89,github.com,2026-09-01T02:29:23+00:00,8.55,"rotarycell, making, unmodified, rotary, phone, work, over, lte, esp32-s3",https://github.com/fregacmols/RotaryCell
49520022,AnkiDroid: Google Play no longer allowing Open Collective donation link,hexa555,80,4,88,github.com,2026-09-01T10:11:02+00:00,0.85,"ankidroid, google, play, longer, allowing, open, collective, donation, link",https://github.com/ankidroid/Anki-Android/issues/21656
49441609,Polishing Cloth Updated,zdw,36,20,76,512pixels.net,2026-08-25T22:34:35+00:00,156.46,"polishing, cloth, updated",https://512pixels.net/2026/08/polishing-cloth-updated/
49510632,Launch HN: Hebbian Robotics (YC S26) – Build scalable robotics data pipelines,kstonekuan,44,12,68,github.com,2026-08-31T15:02:41+00:00,19.99,"launch, hebbian, robotics, s26, build, scalable, robotics, data, pipelines",https://github.com/Hebbian-Robotics/hflow
49519939,44% on ARC-AGI-1 in 67 cents,porridgeraisin,30,8,46,mvakde.github.io,2026-09-01T09:52:45+00:00,1.16,"arc-agi-1, cents",https://mvakde.github.io/blog/44-on-arc-1/
49518121,"Vermell – Minimal, dependency-free C++ web framework using epoll",standar-donkey,20,11,42,github.com,2026-09-01T04:56:11+00:00,6.1,"vermell, minimal, dependency-free, c++, web, framework, using, epoll",https://github.com/vermellcc/vermell
49477925,Interactive pattern discovery in binaries (FF-16-TUI),HexLasso,32,3,38,github.com,2026-08-28T13:05:49+00:00,93.94,"interactive, pattern, discovery, binaries, ff-16-tui",https://github.com/HexLasso/FF-16-TUI
49446091,Visualizing Combos in Judo in R,asaiacai,30,2,34,r-bloggers.com,2026-08-26T09:21:45+00:00,145.68,"visualizing, combos, judo",https://www.r-bloggers.com/2025/05/the-dynamics-of-the-gentle-way-exploring-judo-attack-combinations-as-networks-in-r/
49515499,Delulu Is the Solulu,JumpCrisscross,24,4,32,antar.me,2026-08-31T22:15:24+00:00,12.78,"delulu, solulu",https://antar.me/blog/delulu-is-the-solulu/
49519641,"Google Maps renames ""Lake Ontario"" to ""Lake America"" faster than US Government",Levitating,15,5,25,arstechnica.com,2026-09-01T08:59:20+00:00,2.05,"google, maps, renames, lake, ontario, lake, america, faster, government",https://arstechnica.com/gadgets/2026/08/google-maps-renames-lake-ontario-to-lake-america-even-faster-than-us-government/
49517472,Not Becoming a Cyborg,Refreeze5224,21,2,25,nolanlawson.com,2026-09-01T02:55:15+00:00,8.12,"not, becoming, cyborg",https://nolanlawson.com/2026/08/31/on-not-becoming-a-cyborg/
49460419,Flat vs. segmented memory – it's recursive,signa11,24,0,24,humprog.org,2026-08-27T06:02:30+00:00,125.0,"flat, vs., segmented, memory, recursive",https://www.humprog.org/~stephen/blog/2026/08/25/#flat-vs-segmented
49505584,Roget's Thesaurus,gregsadetsky,19,2,23,artflsrv04.uchicago.edu,2026-08-31T04:29:26+00:00,30.55,"roget, thesaurus",https://artflsrv04.uchicago.edu/roget-thesaurus/
49519902,"NASA: Fill in a name, and you can have an exclusive coordinate in the universe",BearBest,11,3,17,science.nasa.gov,2026-09-01T09:46:39+00:00,1.26,"nasa, fill, name, exclusive, coordinate, universe",https://science.nasa.gov/mission/roman-space-telescope/adopt-a-pixel/
